og,oo,cg,co
The_University_of_Tokyo_C,Swing_3,University_of_Macau_B,Manado_State_University_MSU
Swing_1,Chulalongkorn_University_A,Brickfields_Asia_College_Malaysia_C,Thammasat_University_Thailand_A
National_University_of_Singapore_D,Ateneo_de_Manila_University_TV,Princeton_University_C,University_of_Technology_MARA_B
Cornell_University_C,Universidad_San_Francisco_de_Quito_DS,Fudan_University_A,Universitas_Udayana_A
University_of_Cape_Town_A,Brown_University_HK,Sciences_Po_C,Lewis_&_Clark_College_A
Bina_Nusantara_University_A,Yonsei_University_PL,Hankuk_University_of_Foreign_Studies_B,University_of_Technology_MARA_D
University_of_Queensland_C,Middlebury_College_SS,Diplomatic_Academy_of_Vietnam_C,University_of_Waterloo_Canada_B
Diplomatic_Academy_of_Vietnam_B,International_Islamic_University_Malaysia_A,University_of_Rochester_IL,Turan_A
Harvard_College_E,Haifa_University_A_💻,Macquarie_University_A,University_of_Sydney_Union_C
Seoul_National_University_A,Multimedia_University_A,RMIT_University_A,Amherst_College_MZ
The_Hong_Kong_Polytechnic_University_A,The_University_of_Tokyo_D,Waseda_University_Japan_X,Beijing_Foreign_Studies_University_A
Australian_National_University_A,Nanyang_Technological_University_D,The_University_of_Hong_Kong_D,University_of_New_South_Wales_B
National_University_of_Singapore_C,University_of_St_Andrews_A_💻,University_of_Waterloo_Canada_C,Dartmouth_College_C
De_La_Salle_University_HD,Vanderbilt_University_B,Harvard_College_B,Ateneo_de_Davao_University_A
Drexel_University_A_💻,Macau_University_of_Science_and_Technology_B,Fordham_University_B,University_of_Colombo_Sri_Lanka_A_💻
University_of_Zagreb_A,Hankuk_University_of_Foreign_Studies_A,Indian_Institute_of_Technology_Bombay_C,McGill_University_A
University_of_New_South_Wales_A,Stanford_University_F,Nanyang_Technological_University_B,Queen’s_Debating_Union_Queen’s_University_A
Colgate_University_B,Brickfields_Asia_College_Malaysia_A,University_of_Ilorin_Nigeria_A_💻,Redacted_A_💻
The_University_of_Melbourne_B,Harvard_College_D,University_of_Sydney_Union_G,University_of_Pennsylvania_A
Brawijaya_University_A,Chulalongkorn_University_B,Macau_University_of_Science_and_Technology_A,National_Economics_University_A
Tsinghua_University_A,Jahangirnagar_University_A_💻,The_University_of_Hong_Kong_A,FPT_University_A
Trinity_College_Hist_(College_Historical_Society_Trinity_College_Dublin)_CF,University_of_Alaska_Anchorage_A,Middlebury_College_CG,Keio_University_Japan_SG
Universitas_Gadjah_Mada_A,University_of_Belgrade_E,Royal_Institute_of_Colombo_A,Joint
University_of_British_Columbia_A,Drexel_University_B,University_of_Chicago_D,Keio_University_Japan_YF
Independent_University_Bangladesh_A,The_University_Philosophical_Society_A,Stanford_University_B,Sciences_Po_A
Brickfields_Asia_College_Malaysia_B,Instituto_Tecnológico_y_de_Estudios_Superiores_de_Monterrey_Campus_Estado_de_México_A,Cornell_University_B,City_University_of_Hong_Kong_HK
University_of_Waterloo_Canada_A,The_University_of_Hong_Kong_B,Vanderbilt_University_A,University_of_Santo_Tomas_A
Hobart_and_William_Smith_Colleges_A,Midlands_State_University_B,University_College_London_B,Tenaga_Nasional_University_Malaysia_A
University_of_Cape_Town_C,University_of_Ottawa_A,National_University_of_Singapore_B,International_Islamic_University_Malaysia_B
Durham_University_AW,University_of_the_Philippines_Los_Baños_A,University_of_Auckland_D,De_La_Salle_University_EJ
University_of_Canterbury_A,University_of_Edinburgh_Debates_Union_A,Kwame_Nkrumah_University_of_Science_and_Technology_A,Ateneo_de_Manila_University_CF
Indian_Institute_of_Technology_Bombay_A,Yale_University_A,Stanford_University_D,Cambridge_Union_Society_B
